REGISTRO = Host: localhost.localdomain 2023-05-06 10:58:08 Load: 0,01 Mem: 3002
REGISTRO = Host: localhost.localdomain 2023-05-06 11:01:22 Load: 0,02 Mem: 3001
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:42 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:44 Load: 0,00 Mem: 2999
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:45 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:46 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:46 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:47 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:47 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:47 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:48 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:48 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:48 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:48 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:49 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 11:07:49 Load: 0,00 Mem: 3000
REGISTRO = Host: localhost.localdomain 2023-05-06 12:20:59 Load: 0,01 Mem: 2946
REGISTRO = Host: localhost.localdomain 2023-05-06 12:21:14 Load: 0,01 Mem: 2945
REGISTRO = Host: localhost.localdomain 2023-05-06 12:21:15 Load: 0,01 Mem: 2945
REGISTRO = Host: localhost.localdomain 2023-05-06 12:31:21 Load: 0,01 Mem: 2943
REGISTRO = Host: localhost.localdomain 2023-05-06 12:39:22 Load: 0,00 Mem: 2940
